order_number,customer_id,transaction_amount,date,product_code,status
ORD-1001,CUST-214,231.13,11/29/2023,PRD-B07,Completed
ORD-1002,CUST-220,73.97,11/25/2023,PRD-C03,Completed
ORD-1003,CUST-212,432.24,11/23/2023,PRD-A12,Completed
ORD-1004,CUST-216,149.38,11/22/2023,PRD-C03,Completed
ORD-1005,CUST-206,229.3,12/20/2023,PRD-A12,Completed
ORD-1006,CUST-207,428.61,11/16/2023,PRD-B07,Completed
ORD-1007,CUST-216,170.11,12/19/2023,PRD-C03,Completed
ORD-1008,CUST-211,204.08,12/21/2023,PRD-A12,Completed
ORD-1009,CUST-219,402.76,11/15/2023,PRD-D55,Completed
ORD-1010,CUST-210,43.69,11/10/2023,PRD-D55,Completed
ORD-1011,CUST-204,354.18,12/17/2023,PRD-C03,Completed
ORD-1012,CUST-205,287.34,12/3/2023,PRD-B07,Completed
ORD-1013,CUST-204,86.73,11/6/2023,PRD-B07,Completed
ORD-1014,CUST-218,419.75,12/3/2023,PRD-B07,Completed
ORD-1015,CUST-219,215.47,12/9/2023,PRD-B07,Completed
ORD-1016,CUST-213,301.67,11/7/2023,PRD-A12,Completed
ORD-1017,CUST-218,412.57,12/7/2023,PRD-A12,Completed
ORD-1018,CUST-214,338.22,11/28/2023,PRD-A12,Completed
ORD-1019,CUST-204,311.64,11/23/2023,PRD-A12,Completed
ORD-1020,CUST-206,478.67,11/1/2023,PRD-C03,Completed
ORD-1021,CUST-206,354.64,12/30/2023,PRD-C03,Completed
ORD-1022,CUST-208,442.19,11/11/2023,PRD-B07,Completed
ORD-1023,CUST-210,375.23,11/21/2023,PRD-D55,Completed
ORD-1024,CUST-207,358.46,12/4/2023,PRD-A12,Canceled
ORD-1025,CUST-219,295.42,11/6/2023,PRD-A12,Completed
ORD-1026,CUST-205,104.04,12/4/2023,PRD-D55,Completed
ORD-1027,CUST-219,227.38,12/22/2023,PRD-C03,Completed
ORD-1028,CUST-209,41.3,12/10/2023,PRD-C03,Completed
ORD-1029,CUST-210,24.54,11/17/2023,PRD-D55,Completed
ORD-1030,CUST-216,444.58,12/28/2023,PRD-D55,Completed
ORD-1031,CUST-214,96.56,12/23/2023,PRD-D55,Canceled
ORD-1032,CUST-205,270.25,11/6/2023,PRD-C03,Completed
ORD-1033,CUST-215,393.69,12/20/2023,PRD-D55,Completed
ORD-1034,CUST-201,93.8,12/6/2023,PRD-A12,Completed
ORD-1035,CUST-202,433.1,12/1/2023,PRD-A12,Completed
ORD-1036,CUST-205,141.98,11/5/2023,PRD-A12,Completed
ORD-1037,CUST-215,290.48,11/5/2023,PRD-C03,Completed
ORD-1038,CUST-204,127.97,12/16/2023,PRD-C03,Canceled
ORD-1039,CUST-208,329.01,11/20/2023,PRD-B07,Completed
ORD-1040,CUST-220,155.57,11/9/2023,PRD-D55,Completed
ORD-1041,CUST-217,216.88,11/4/2023,PRD-A12,Completed
ORD-1042,CUST-220,373.2,11/18/2023,PRD-C03,Completed
ORD-1043,CUST-201,337.97,12/16/2023,PRD-D55,Completed
ORD-1044,CUST-215,288.56,12/27/2023,PRD-D55,Completed
ORD-1045,CUST-206,444.75,12/14/2023,PRD-B07,Completed
ORD-1046,CUST-216,56.86,11/7/2023,PRD-D55,Completed
ORD-1047,CUST-211,325,11/20/2023,PRD-C03,Completed
ORD-1048,CUST-214,349.04,12/28/2023,PRD-C03,Completed
ORD-1049,CUST-215,196.09,12/9/2023,PRD-B07,Completed
ORD-1050,CUST-206,472.88,11/17/2023,PRD-B07,Completed
ORD-9999,CUST-999,not_a_number,12/10/2023,PRD-A12,Completed
ORD-1000,CUST-998,400,bad_date,PRD-B07,Completed
ORD-1001,CUST-997,275,12/12/2023,,Completed
